doi;title;author;date;sdg;ugc_source;paperurl;source;query
10.1016/j.jbi.2016.05.005;Using online social networks to track a pandemic: A systematic review;"Al-garadi, Mohammed Ali
Khan, Muhammad Sadiq
Varathan, Kasturi Dewi
Mujtaba, Ghulam
Al-Kabsi, Abdelkodose M.";01.10.2016;<SDG3>;;;;
10.2196/jmir.2740;"Scoping Review on Search Queries and Social Media for Disease Surveillance: A Chronology of
Innovation";"Bernardo, Theresa Marie
Rajic, Andrijana
Young, Ian
Robiadek, Katie
Pham, Mai T.
Funk, Julie A.";01.07.2013;<SDG3>;;;;
10.1016/j.watres.2017.05.076;The biogeochemical implications of massive gull flocks at landfills;Winton R.;01.01.2017;11.6;eBird - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85020768953&origin=inward;scopus;KEY((environ* AND impact * AND (urban OR cit* OR municip*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.jth.2017.06.004;Exploiting crowdsourced geographic information and GIS for assessment of air pollution exposure during active travel;Sun Y.;01.09.2017;3.9;strava;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85020763578&origin=inward;scopus;TITLE(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/su11216137;Mapping urban park cultural ecosystem services: A comparison of twitter and semi-structured interview methods;Johnson M.;01.11.2019;3.9;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074821273&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1145/2749461;Social haystack: Dynamic quality assessment of citizen-generated content during emergencies;Ludwig T.;01.01.2015;11.5;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84934756581&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1371/journal.pone.0139344;A review of the statistical and quantitative methods used to study alcohol-attributable crime;Fitterer J.L.;29.09.2015;11.a;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84947998912&origin=inward;scopus;KEY(((urban OR integrat*) AND polic*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1186/s12889-019-7689-x;Enhancing community preparedness: An inventory and analysis of disaster citizen science activities;Chari R.;23.10.2019;11.5;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85074116417&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/su12114522;Sustaining citizen science beyond an emergency;Calyx C.;01.06.2020;3.9;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085936620&origin=inward;scopus;KEY((sustainable cit*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.5055/jem.2014.0207;Information and communication technology: Connecting the public and first responders during disasters;Buzzelli M.M.;01.01.2014;11.5;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84927566498&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/rs8100859;The tasks of the crowd: A typology of tasks in geographic information crowdsourcing and a case study in humanitarian mapping;de Albuquerque J.;01.10.2016;11.5;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017655963&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.5751/ES-07329-200319;Individual-and community-level impacts of volunteer environmental monitoring: A synthesis of peer-reviewed literature;Stepenuck K.;01.01.2015;11.6;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84943160821&origin=inward;scopus;KEY((environ* AND impact * AND (urban OR cit* OR municip*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1111/gec3.12213;A Review of Volunteered Geographic Information for Disaster Management;Haworth B.;01.01.2015;11.5;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928818011&origin=inward;scopus;TITLE((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/978-3-319-18368-8_3;The Role of Social Media Geographic Information (SMGI) in Spatial Planning;"Campagna, Michele
Floris, Roberta
Massa, Pierangelo
Girsheva, Anastacia
Ivanov, Konstantin";01.01.2015;;;;webofknowledge;
10.1007/s11625-020-00833-7;Mapping citizen science contributions to the UN sustainable development goals;Fraisl D.;01.01.2020;3.9;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087479587&origin=inward;scopus;TITLE((sustainable cit*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/rs8110879;"Citizen Bio-Optical Observations from Coast- and Ocean and Their Compatibility with Ocean
Colour Satellite Measurements";"Busch, Julia A.
Bardaji, Raul
Ceccaroni, Luigi
Friedrichs, Anna
Piera, Jaume
Simon, Carine
Thijsse, Peter
Wernand, Marcel
van der Woerd, Hendrik J.
Zielinski, Oliver";01.11.2016;11.5;"EyeOnWater App;Citclops;North American Lake Management Society - Citizen Science Project";;webofknowledge;
10.1016/j.ajic.2015.02.023;What can we learn about the Ebola outbreak from tweets?;"Odlum, Michelle
Yoon, Sunmoo";01.06.2015;3.3;twitter;;webofknowledge;Disease (Ebola)
10.1016/j.marpol.2020.104064;Macro-plastic pollution in the tidal Thames: An analysis of composition and trends for the optimization of data collection;Bernardini G.;01.09.2020;3.9; ;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85086658797&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1111/ddi.12913;Distribution trends of European dragonflies under climate change;Termaat T.;01.06.2019;11.b;Citizen science projects - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85065987792&origin=inward;scopus;KEY(((mitigat* OR adapt*) AND climate change) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/ijerph16183268;Next-generation community air quality sensors for identifying air pollution episodes;Seto E.;02.09.2019;3.9;Imperial Air study;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071977553&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.landusepol.2020.104915;Urban and rural destinations on Instagram: Exploring the influencers’ role in #sustainabletourism;Palazzo M.;01.01.2021;11.3; ;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087951332&origin=inward;scopus;KEY((urban* AND (inclus* OR sustain*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s10346-018-1101-2;A CitSci app for landslide data collection;Kocaman S.;14.03.2019;11.5;LAMA - Citizen Science App;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056315519&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1080/14036096.2018.1487879;Towards a Typology of Tiny Houses;Shearer H.;03.07.2019;3.9;"facebook;Instagram";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85048982529&origin=inward;scopus;KEY((sustainable communit*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1109/ACCESS.2020.2973177;Spatiotemporal Patterns of Visitors in Urban Green Parks by Mining Social Media Big Data Based upon WHO Reports;Ullah H.;01.01.2020;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85081644376&origin=inward;scopus;TITLE((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s00291-019-00559-8;Predicting gasoline shortage during disasters using social media;Khare A.;01.09.2020;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068851702&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1177/0269094219889881;User-generated insight of Rio’s Rocinha favela tour: Authentic attraction or vulnerable living environment?;Wise N.;01.11.2019;11.1;TripAdvisor;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077151322&origin=inward;scopus;KEY((slums) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1080/08949468.2017.1296313;Instagram-City: New Media, and the Social Perception of Public Spaces;Toscano P.;27.05.2017;11.7;Instagram;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017294469&origin=inward;scopus;TITLE(((green OR public OR open) AND (place* OR space*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s12119-019-09694-4;Talking About Sexual Violence in Post-Maidan Ukraine: Analysis of the Online Campaign #IAmNotAfraidToSayIt;Martsenyuk T.;01.04.2020;11.7;Social media - not further specified;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85077629266&origin=inward;scopus;KEY((sex* harass*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.cities.2018.11.011;Exploring the effect of air pollution on social activity in China using geotagged social media check-in data;Yan L.;01.08.2019;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85057054982&origin=inward;scopus;TITLE(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.13203/j.whugis20150401;Modeling urban air quality trend surface using social media data;Wang Y.;05.01.2017;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85015284156&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/su9040534;A geo-event-based geospatial information service: A case study of typhoon hazard;Zhang Y.;31.03.2017;11.5;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017331803&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/ijerph17031092;Community-engaged air monitoring to build resilience near the US-Mexico border;Wong M.;01.02.2020;3.9;County Community Air Monitoring Project - Citizen Science;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079336423&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s11069-015-1835-2;Examining the role of social media in California’s drought risk management in 2014;Tang Z.;14.10.2015;11.5;"facebook;YouTube;twitter";https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84941417460&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3402/jac.v7.28242;Photographic social media, designed landscapes and urban, place-based visibilities: In search of friction;Despard E.;01.01.2015;11.7;Instagram;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959017861&origin=inward;scopus;KEY(((green OR public OR open) AND (place* OR space*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1057/s41300-017-0028-1;Women's strategies addressing sexual harassment and assault on public buses: An analysis of crowdsourced data;Lea S.;01.09.2017;11.7;Safecity.in - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029008727&origin=inward;scopus;TITLE((sex* harass*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.scitotenv.2017.01.200;"Prioritising local action for water quality improvement using citizen science; a study across three major metropolitan areas of China";Thornhill I.;15.04.2017;3.9;FreshWater Watch - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85012923350&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1108/CI-02-2018-0007;Characterising “Green Building” as a topic in Twitter;Palmer S.;07.10.2019;11.c;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067069580&origin=inward;scopus;KEY(((sustain* OR resili*) AND build*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.chb.2015.06.044;A network analysis of official Twitter accounts during the West Virginia water crisis;Getchell M.;01.01.2016;3.9;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945445749&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1016/j.scitotenv.2016.11.137;Marine anthropogenic litter on British beaches: A 10-year nationwide assessment using citizen science data;Nelms S.;01.02.2017;3.9;Marine Conservation Society (MCS) beach litter survey - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007291416&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s11266-015-9591-1;Microblogging-Based Civic Participation on Environment in China: A Case Study of the PM 2.5 Campaign;Fedorenko I.;01.10.2016;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929689131&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1140/epjds/s13688-014-0031-z;The ripple of fear, sympathy and solidarity during the boston bombings;Lin Y.;01.01.2014;11.5;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84933533294&origin=inward;scopus;KEY((disaster AND (manage* OR help* OR support*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
